"CO_GRUPO";"CO_REGIAO_CURSO";"NU_IDADE";"TP_SEXO";"CO_TURNO_GRADUACAO";"NT_GER";"QE_I01";"QE_I02";"QE_I04";"QE_I05";"QE_I08";"QE_I21";"QE_I22";"QE_I23";"NT_OBJ_FG";"NT_OBJ_CE";"Sexo";"Regiao";"Turno";"Estado_Civil";"Cor_Raca";"Escolaridade_Pai";"Escolaridade_Mae";"Renda_Familiar";"Familiar_Graduado";"Qdade_Livros";"Horas_Estudo"
3002;2;26;"F";1;58,7;"A";"D";"B";"B";"A";"B";"D";"B";75;70,8;"Feminino";"Nordeste";"Matutino";"Solteiro";"Parda";"Ensino Fundamental I";"Ensino Fundamental I";"Até 1,5 salário mínimo";"Não";"De 6 a 8";"De 1 a 3"
3002;1;21;"M";1;46,7;"A";"D";"D";"D";"A";"A";"B";"C";37,5;50;"Masculino";"Norte";"Matutino";"Solteiro";"Parda";"Ensino Médio";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"De 1 a 2";"De 4 a 7"
3002;1;33;"M";1;60,1;"A";"D";"C";"B";"B";"B";"B";"B";62,5;62,5;"Masculino";"Norte";"Matutino";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Não";"De 1 a 2";"De 1 a 3"
3002;1;22;"F";1;50,2;"A";"F";"D";"D";"A";"B";"E";"D";37,5;50;"Feminino";"Norte";"Matutino";"Solteiro";"Sem declaracao";"Ensino Médio";"Ensino Médio";"Até 1,5 salário mínimo";"Não";"Mais de 8";"De 8 a 12"
3002;1;42;"M";1;43,1;"C";"D";"A";"A";"A";"B";"C";"B";50;33,3;"Masculino";"Norte";"Matutino";"Separado";"Parda";"Nenhuma";"Nenhuma";"Até 1,5 salário mínimo";"Não";"De 3 a 5";"De 1 a 3"
3002;1;24;"M";1;48,2;"A";"D";"D";"D";"B";"B";"C";"B";37,5;45,8;"Masculino";"Norte";"Matutino";"Solteiro";"Parda";"Ensino Médio";"Ensino Médio";"De 1,5 e 3 salários mínimos";"Não";"De 3 a 5";"De 1 a 3"
3002;1;26;"F";1;45,2;"A";"A";"A";"B";"A";"A";"E";"B";25;50;"Feminino";"Norte";"Matutino";"Solteiro";"Branca";"Nenhuma";"Ensino Fundamental I";"Até 1,5 salário mínimo";"Sim";"Mais de 8";"De 1 a 3"
3002;1;22;"F";4;42,3;"A";"D";"C";"C";"B";"B";"B";"B";62,5;37,5;"Feminino";"Norte";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental II";"De 1,5 e 3 salários mínimos";"Não";"De 1 a 2";"De 1 a 3"
3002;1;22;"M";4;30,5;"A";"D";"B";"D";"A";"B";"C";"D";50;29,2;"Masculino";"Norte";"Noturno";"Solteiro";"Parda";"Ensino Fundamental I";"Ensino Médio";"Até 1,5 salário mínimo";"Não";"De 3 a 5";"De 8 a 12"
3002;1;21;"F";4;58,5;"A";"D";"C";"C";"A";"A";"C";"C";62,5;58,3;"Feminino";"Norte";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental II";"Até 1,5 salário mínimo";"Sim";"De 3 a 5";"De 4 a 7"
3002;1;23;"F";4;56,8;"A";"D";"D";"D";"A";"A";"C";"C";37,5;62,5;"Feminino";"Norte";"Noturno";"Solteiro";"Parda";"Ensino Médio";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"De 3 a 5";"De 4 a 7"
3002;1;30;"M";1;31,7;"A";"D";"A";"A";"B";"B";"B";"C";12,5;33,3;"Masculino";"Norte";"Matutino";"Solteiro";"Parda";"Nenhuma";"Nenhuma";"De 1,5 e 3 salários mínimos";"Não";"De 1 a 2";"De 4 a 7"
3002;1;24;"M";4;75,6;"A";"D";"D";"C";"C";"B";"B";"C";50;87,5;"Masculino";"Norte";"Noturno";"Solteiro";"Parda";"Ensino Médio";"Ensino Fundamental II";"De 3 a 4,5 salários mínimos";"Não";"De 1 a 2";"De 4 a 7"
3002;1;30;"F";4;31;"A";"D";"B";"C";"A";"B";"C";"C";37,5;29,2;"Feminino";"Norte";"Noturno";"Solteiro";"Parda";"Ensino Fundamental I";"Ensino Fundamental II";"Até 1,5 salário mínimo";"Não";"De 3 a 5";"De 4 a 7"
3002;1;33;"M";4;35,9;"E";"D";"C";"E";"F";"A";"B";"A";62,5;41,7;"Masculino";"Norte";"Noturno";"Outro";"Parda";"Ensino Fundamental II";"Ensino Superior";"De 10 a 30 salários mínimos";"Sim";"De 1 a 2";"Nenhuma"
3002;1;21;"F";4;45,4;"A";"A";"C";"C";"B";"B";"B";"B";37,5;45,8;"Feminino";"Norte";"Noturno";"Solteiro";"Branca";"Ensino Fundamental II";"Ensino Fundamental II";"De 1,5 e 3 salários mínimos";"Não";"De 1 a 2";"De 1 a 3"
3002;1;28;"F";4;53,9;"A";"C";"B";"D";"A";"A";"A";"A";25;58,3;"Feminino";"Norte";"Noturno";"Solteiro";"Amarela";"Ensino Fundamental I";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"Nenhum";"Nenhuma"
3002;1;47;"M";4;33,9;"B";"F";"B";"B";"D";"A";"B";"B";50;25;"Masculino";"Norte";"Noturno";"Casado";"Sem declaracao";"Ensino Fundamental I";"Ensino Fundamental I";"De 4,5 a 6 salários mínimos";"Sim";"De 1 a 2";"De 1 a 3"
3002;1;25;"F";4;34,3;"B";"D";"C";"D";"C";"A";"B";"B";50;25;"Feminino";"Norte";"Noturno";"Casado";"Parda";"Ensino Fundamental II";"Ensino Médio";"De 3 a 4,5 salários mínimos";"Sim";"De 1 a 2";"De 1 a 3"
3002;1;35;"M";4;34,6;"B";"D";"C";"B";"B";"A";"B";"C";37,5;37,5;"Masculino";"Norte";"Noturno";"Casado";"Parda";"Ensino Fundamental II";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 4 a 7"
3002;1;24;"M";4;26;"A";"D";"C";"B";"B";"A";"B";"C";62,5;16,7;"Masculino";"Norte";"Noturno";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 4 a 7"
3002;1;23;"M";4;43,1;"A";"C";"D";"D";"A";"B";"E";"E";50;41,7;"Masculino";"Norte";"Noturno";"Solteiro";"Amarela";"Ensino Médio";"Ensino Médio";"Até 1,5 salário mínimo";"Não";"Mais de 8";"Mais de 12"
3002;1;43;"M";4;49,2;"B";"D";"A";"D";"C";"A";"A";"D";50;62,5;"Masculino";"Norte";"Noturno";"Casado";"Parda";"Nenhuma";"Ensino Médio";"De 3 a 4,5 salários mínimos";"Sim";"Nenhum";"De 8 a 12"
3002;1;21;"F";4;55,3;"A";"A";"D";"D";"B";"B";"C";"A";37,5;58,3;"Feminino";"Norte";"Noturno";"Solteiro";"Branca";"Ensino Médio";"Ensino Médio";"De 1,5 e 3 salários mínimos";"Não";"De 3 a 5";"Nenhuma"
3002;1;47;"M";4;79,2;"B";"D";"C";"B";"E";"A";"B";"C";75;83,3;"Masculino";"Norte";"Noturno";"Casado";"Parda";"Ensino Fundamental II";"Ensino Fundamental I";"De 6 a 10 salários mínimos";"Sim";"De 1 a 2";"De 4 a 7"
3002;1;43;"F";4;61,3;"C";"D";"B";"B";"E";"B";"C";"B";50;70,8;"Feminino";"Norte";"Noturno";"Separado";"Parda";"Ensino Fundamental I";"Ensino Fundamental I";"De 6 a 10 salários mínimos";"Não";"De 3 a 5";"De 1 a 3"
3002;1;26;"F";1;17,3;"B";"D";"D";"D";"C";"B";"B";"C";25;12,5;"Feminino";"Norte";"Matutino";"Casado";"Parda";"Ensino Médio";"Ensino Médio";"De 3 a 4,5 salários mínimos";"Não";"De 1 a 2";"De 4 a 7"
3002;1;42;"F";1;58,2;"A";"D";"A";"B";"A";"A";"D";"C";75;58,3;"Feminino";"Norte";"Matutino";"Solteiro";"Parda";"Nenhuma";"Ensino Fundamental I";"Até 1,5 salário mínimo";"Sim";"De 6 a 8";"De 4 a 7"
3002;1;39;"M";1;59,5;"E";"D";"B";"D";"A";"A";"C";"B";87,5;62,5;"Masculino";"Norte";"Matutino";"Outro";"Parda";"Ensino Fundamental I";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"De 3 a 5";"De 1 a 3"
3002;1;21;"F";1;38,6;"A";"D";"D";"D";"E";"B";"C";"B";37,5;45,8;"Feminino";"Norte";"Matutino";"Solteiro";"Parda";"Ensino Médio";"Ensino Médio";"De 6 a 10 salários mínimos";"Não";"De 3 a 5";"De 1 a 3"
3002;1;34;"F";1;49,6;"B";"D";"C";"E";"E";"A";"C";"B";37,5;54,2;"Feminino";"Norte";"Matutino";"Casado";"Parda";"Ensino Fundamental II";"Ensino Superior";"De 6 a 10 salários mínimos";"Sim";"De 3 a 5";"De 1 a 3"
3002;1;53;"M";1;35,5;"B";"D";"A";"A";"D";"B";"C";"B";50;33,3;"Masculino";"Norte";"Matutino";"Casado";"Parda";"Nenhuma";"Nenhuma";"De 4,5 a 6 salários mínimos";"Não";"De 3 a 5";"De 1 a 3"
3002;1;25;"M";1;56,1;"A";"D";"C";"B";"A";"A";"E";"E";62,5;58,3;"Masculino";"Norte";"Matutino";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental I";"Até 1,5 salário mínimo";"Sim";"Mais de 8";"Mais de 12"
3002;1;21;"F";1;47,5;"B";"D";"C";"D";"C";"A";"B";"B";37,5;41,7;"Feminino";"Norte";"Matutino";"Casado";"Parda";"Ensino Fundamental II";"Ensino Médio";"De 3 a 4,5 salários mínimos";"Sim";"De 1 a 2";"De 1 a 3"
3002;1;22;"F";1;73,3;"A";"B";"B";"C";"A";"B";"E";"C";62,5;79,2;"Feminino";"Norte";"Matutino";"Solteiro";"Preta";"Ensino Fundamental I";"Ensino Fundamental II";"Até 1,5 salário mínimo";"Não";"Mais de 8";"De 4 a 7"
3002;1;33;"M";1;39,2;"A";"D";"C";"C";"B";"B";"E";"C";25;41,7;"Masculino";"Norte";"Matutino";"Solteiro";"Parda";"Ensino Fundamental II";"Ensino Fundamental II";"De 1,5 e 3 salários mínimos";"Não";"Mais de 8";"De 4 a 7"
3002;2;24;"M";3;65,9;"B";"A";"D";"B";"A";"B";"B";"D";62,5;66,7;"Masculino";"Nordeste";"Integral";"Casado";"Branca";"Ensino Médio";"Ensino Fundamental I";"Até 1,5 salário mínimo";"Não";"De 1 a 2";"De 8 a 12"
3002;2;29;"F";4;59,6;"A";"B";"B";"B";"B";"A";"B";"C";75;62,5;"Feminino";"Nordeste";"Noturno";"Solteiro";"Preta";"Ensino Fundamental I";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 4 a 7"
3002;2;22;"M";4;49,8;"A";"D";"F";"F";"C";"A";"C";"B";50;45,8;"Masculino";"Nordeste";"Noturno";"Solteiro";"Parda";"Pós Graduação";"Pós Graduação";"De 3 a 4,5 salários mínimos";"Sim";"De 3 a 5";"De 1 a 3"
3002;2;29;"M";4;30,6;"B";"D";"B";"B";"A";"B";"B";"C";62,5;33,3;"Masculino";"Nordeste";"Noturno";"Casado";"Parda";"Ensino Fundamental I";"Ensino Fundamental I";"Até 1,5 salário mínimo";"Não";"De 1 a 2";"De 4 a 7"
3002;2;24;"F";3;61,5;"A";"B";"B";"D";"B";"A";"E";"B";50;58,3;"Feminino";"Nordeste";"Integral";"Solteiro";"Preta";"Ensino Fundamental I";"Ensino Médio";"De 1,5 e 3 salários mínimos";"Sim";"Mais de 8";"De 1 a 3"
3002;2;43;"F";4;52,7;"E";"D";"A";"B";"D";"A";"D";"B";62,5;41,7;"Feminino";"Nordeste";"Noturno";"Outro";"Parda";"Nenhuma";"Ensino Fundamental I";"De 4,5 a 6 salários mínimos";"Sim";"De 6 a 8";"De 1 a 3"
3002;2;54;"M";4;36,3;"B";"D";"B";"B";"E";"A";"E";"C";37,5;37,5;"Masculino";"Nordeste";"Noturno";"Casado";"Parda";"Ensino Fundamental I";"Ensino Fundamental I";"De 6 a 10 salários mínimos";"Sim";"Mais de 8";"De 4 a 7"
3002;2;29;"M";4;52,7;"B";"B";"A";"B";"B";"A";"B";"C";62,5;50;"Masculino";"Nordeste";"Noturno";"Casado";"Preta";"Nenhuma";"Ensino Fundamental I";"De 1,5 e 3 salários mínimos";"Sim";"De 1 a 2";"De 4 a 7"
3002;2;23;"F";3;65,9;"A";"D";"D";"C";"C";"A";"C";"B";87,5;62,5;"Feminino";"Nordeste";"Integral";"Solteiro";"Parda";"Ensino Médio";"Ensino Fundamental II";"De 3 a 4,5 salários mínimos";"Sim";"De 3 a 5";"De 1 a 3"
3002;2;21;"F";3;59,3;"A";"D";"D";"D";"B";"B";"B";"E";75;58,3;"Feminino";"Nordeste";"Integral";"Solteiro";"Parda";"Ensino Médio";"Ensino Médio";"De 1,5 e 3 salários mínimos";"Não";"De 1 a 2";"Mais de 12"
3002;2;29;"F";4;49,8;"A";"D";"B";"E";"D";"A";"D";"B";62,5;45,8;"Feminino";"Nordeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental I";"Ensino Superior";"De 4,5 a 6 salários mínimos";"Sim";"De 6 a 8";"De 1 a 3"
3002;2;28;"M";4;35,9;"A";"D";"B";"D";"A";"A";"B";"C";62,5;41,7;"Masculino";"Nordeste";"Noturno";"Solteiro";"Parda";"Ensino Fundamental I";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"De 1 a 2";"De 4 a 7"
3002;2;31;"M";4;49,6;"E";"D";"D";"D";"A";"A";"B";"D";50;62,5;"Masculino";"Nordeste";"Noturno";"Outro";"Parda";"Ensino Médio";"Ensino Médio";"Até 1,5 salário mínimo";"Sim";"De 1 a 2";"De 8 a 12"
3002;2;21;"M";3;62;"A";"B";"A";"E";"B";"A";"C";"C";50;66,7;"Masculino";"Nordeste";"Integral";"Solteiro";"Preta";"Nenhuma";"Ensino Superior";"De 1,5 e 3 salários mínimos";"Sim";"De 3 a 5";"De 4 a 7"
